dt_txt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,main,description,clouds,wind_speed,wind_degree,date,day,time_of_record
2020-01-27 14:30:00+05:30,22.49,21.43,22.49,1012,1012,985,38,Clouds,broken clouds,67,2.35,54,2020-01-27,Monday,14:30:00
2020-01-27 17:30:00+05:30,20.34,19.64,20.34,1010,1010,983,42,Clouds,broken clouds,68,2.95,102,2020-01-27,Monday,17:30:00
2020-01-27 20:30:00+05:30,17.86,17.51,17.86,1012,1012,985,48,Clouds,scattered clouds,35,2.6,106,2020-01-27,Monday,20:30:00
2020-01-27 23:30:00+05:30,16.64,16.64,16.64,1011,1011,984,50,Clouds,broken clouds,66,3.6,109,2020-01-27,Monday,23:30:00
2020-01-28 02:30:00+05:30,16.15,16.15,16.15,1010,1010,983,50,Clouds,scattered clouds,32,2.82,59,2020-01-28,Tuesday,02:30:00
2020-01-28 05:30:00+05:30,14.83,14.83,14.83,1009,1009,982,54,Clouds,broken clouds,53,3.69,64,2020-01-28,Tuesday,05:30:00
2020-01-28 08:30:00+05:30,14.96,14.96,14.96,1012,1012,985,57,Rain,light rain,38,5.04,123,2020-01-28,Tuesday,08:30:00
2020-01-28 11:30:00+05:30,18.43,18.43,18.43,1012,1012,985,50,Clouds,broken clouds,51,4.59,120,2020-01-28,Tuesday,11:30:00
2020-01-28 14:30:00+05:30,19.42,19.42,19.42,1009,1009,983,51,Clouds,scattered clouds,35,5.58,117,2020-01-28,Tuesday,14:30:00
2020-01-28 17:30:00+05:30,18.88,18.88,18.88,1009,1009,982,55,Rain,light rain,68,1.06,126,2020-01-28,Tuesday,17:30:00
2020-01-28 20:30:00+05:30,16.31,16.31,16.31,1011,1011,984,71,Rain,light rain,59,2.6,283,2020-01-28,Tuesday,20:30:00
2020-01-28 23:30:00+05:30,15.77,15.77,15.77,1013,1013,985,73,Rain,light rain,59,1.98,26,2020-01-28,Tuesday,23:30:00
2020-01-29 02:30:00+05:30,13.85,13.85,13.85,1013,1013,985,84,Rain,light rain,12,1.64,239,2020-01-29,Wednesday,02:30:00
